year,color,mileage,motor,shasi,body,Insurance,price
۱۳۸۷,قهوه‌ای,۲۳۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۴,نوک‌مدادی,۱۳۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,۲۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۹۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,نقره‌ای,۱۶۵٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۹ ماه,۱۵۳٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,آلبالویی,۴۲۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۵ ماه,۱۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۹۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۶ ماه,۳۰۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۷۷٬۹۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,مشکی,۳۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۸۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۳۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۱۵۷٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۷۷٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,سفید,۳۳۵٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,۲۲۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۱۹۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۲۳۳٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۸۹,خاکستری,۱۲۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,۲۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۹۸٬۰۰۰٬۰۰۰ تومان
